sw krw krn krwf krnf vw vn force pw pn wet peff
0.2737199 0.11252831 2.2242384 0.10291312 2.0467104 1.1831978e-05 0.00023387127 1e-05 0.32760122 0.33537145 715420.56 0.42794173
0.27372479 0.11241106 2.2246582 0.10292063 2.0470483 1.1819649e-05 0.00023391541 1e-05 0.327601 0.3353714 715476.51 0.42788634
0.27371789 0.11306186 2.2248159 0.10335087 2.0475692 1.1888079e-05 0.00023393199 1e-05 0.32760083 0.33537133 715532.4 0.42773836
0.27371614 0.11344363 2.2258217 0.10386597 2.0484163 1.192822e-05 0.00023403775 1e-05 0.32760087 0.33537117 715591.76 0.42748464
0.27371589 0.11217297 2.2224831 0.10276187 2.0452966 1.1794615e-05 0.00023368671 1e-05 0.32759951 0.3353715 715625.72 0.42832861
0.27372303 0.1127478 2.2241252 0.10337164 2.0465522 1.1855056e-05 0.00023385936 1e-05 0.32759944 0.33537145 715673.86 0.42792228
0.27372379 0.11329984 2.2239621 0.10381506 2.0461619 1.1913101e-05 0.00023384222 1e-05 0.32759904 0.33537149 715714.57 0.42785107
0.27371739 0.11415811 2.2230863 0.10469362 2.045371 1.2003345e-05 0.00023375013 1e-05 0.32759834 0.33537158 715763.88 0.42785428
0.27370975 0.11434738 2.2229869 0.10486737 2.0453415 1.2023246e-05 0.00023373968 1e-05 0.32759782 0.33537161 715814.98 0.42783782
0.27370047 0.11429019 2.2232493 0.10507846 2.0454433 1.2017233e-05 0.00023376728 1e-05 0.32759725 0.33537164 715867.95 0.42780025
0.27369984 0.11447368 2.2231284 0.10525235 2.045206 1.2036526e-05 0.00023375456 1e-05 0.32759675 0.33537165 715921.04 0.42778881
0.27369483 0.11470388 2.2233177 0.10567378 2.0450096 1.2060732e-05 0.00023377447 1e-05 0.32759638 0.33537164 715975.75 0.42771204
0.27368819 0.11471146 2.2231003 0.10561431 2.0447247 1.2061529e-05 0.0002337516 1e-05 0.32759605 0.33537163 716025.48 0.42775043
